statement,connective,pattern,label,conj_a,conj_b
The city of Lianyungang is in the Philippines or the city of Antananarivo is in Madagascar.,or,FT,1,The city of Lianyungang is in the Philippines.,The city of Antananarivo is in Madagascar.
The city of New York City is in India and the city of Battagram is in Tanzania.,and,FF,0,The city of New York City is in India.,The city of Battagram is in Tanzania.
The city of Kano is in Nigeria and the city of Oyo is in Nigeria.,and,TT,1,The city of Kano is in Nigeria.,The city of Oyo is in Nigeria.
The city of Tokyo is in Pakistan and the city of Zaria is in India.,and,FF,0,The city of Tokyo is in Pakistan.,The city of Zaria is in India.
The city of Pingdingshan is in South Africa and the city of Rizhao is in Iraq.,and,FF,0,The city of Pingdingshan is in South Africa.,The city of Rizhao is in Iraq.
The city of Jos is in India and the city of Tlaquepaque is in Japan.,and,FF,0,The city of Jos is in India.,The city of Tlaquepaque is in Japan.
The city of Belo Horizonte is in Brazil or the city of Guayaquil is in Ecuador.,or,TT,1,The city of Belo Horizonte is in Brazil.,The city of Guayaquil is in Ecuador.
The city of Jeonju is in the United States and the city of San Miguel de Tucuman is in China.,and,FF,0,The city of Jeonju is in the United States.,The city of San Miguel de Tucuman is in China.
The city of Sanming is in Bulgaria or the city of Qujing is in India.,or,FF,0,The city of Sanming is in Bulgaria.,The city of Qujing is in India.
The city of Nouakchott is in China and the city of Rajkot is in India.,and,FT,0,The city of Nouakchott is in China.,The city of Rajkot is in India.
The city of Jakarta is in Indonesia and the city of Bandar Lampung is in South Africa.,and,TF,0,The city of Jakarta is in Indonesia.,The city of Bandar Lampung is in South Africa.
The city of Xiangtan is in Brazil or the city of Zhaoqing is in China.,or,FT,1,The city of Xiangtan is in Brazil.,The city of Zhaoqing is in China.
The city of Puning is in China and the city of Aparecida de Goiania is in China.,and,TF,0,The city of Puning is in China.,The city of Aparecida de Goiania is in China.
The city of Meknes is in China and the city of Niamey is in China.,and,FF,0,The city of Meknes is in China.,The city of Niamey is in China.
The city of Karachi is in Pakistan and the city of Oklahoma City is in the United States.,and,TT,1,The city of Karachi is in Pakistan.,The city of Oklahoma City is in the United States.
The city of Feira de Santana is in China and the city of Malatya is in Russia.,and,FF,0,The city of Feira de Santana is in China.,The city of Malatya is in Russia.
The city of Fushun is in China or the city of Durban is in South Africa.,or,TT,1,The city of Fushun is in China.,The city of Durban is in South Africa.
The city of Sulaymaniyah is in Iraq or the city of Volgograd is in Russia.,or,TT,1,The city of Sulaymaniyah is in Iraq.,The city of Volgograd is in Russia.
The city of Konya is in Russia and the city of Balikpapan is in Indonesia.,and,FT,0,The city of Konya is in Russia.,The city of Balikpapan is in Indonesia.
The city of N'Djamena is in Chad and the city of Karbala is in Turkey.,and,TF,0,The city of N'Djamena is in Chad.,The city of Karbala is in Turkey.
The city of Jinan is in Rwanda or the city of Sapporo is in Mexico.,or,FF,0,The city of Jinan is in Rwanda.,The city of Sapporo is in Mexico.
The city of Aguascalientes is in Mexico and the city of Abobo is in India.,and,TF,0,The city of Aguascalientes is in Mexico.,The city of Abobo is in India.
The city of Bulawayo is in Zimbabwe and the city of Xinyang is in Japan.,and,TF,0,The city of Bulawayo is in Zimbabwe.,The city of Xinyang is in Japan.
The city of Zhangjiakou is in China or the city of Benin City is in Nigeria.,or,TT,1,The city of Zhangjiakou is in China.,The city of Benin City is in Nigeria.
The city of Enugu is in Nigeria and the city of Siping is in Iraq.,and,TF,0,The city of Enugu is in Nigeria.,The city of Siping is in Iraq.
The city of Munich is in Germany or the city of Jiaozhou is in China.,or,TT,1,The city of Munich is in Germany.,The city of Jiaozhou is in China.
The city of Shaoguan is in China or the city of Chaozhou is in China.,or,TT,1,The city of Shaoguan is in China.,The city of Chaozhou is in China.
The city of Taiz is in Yemen or the city of Battagram is in Tanzania.,or,TF,1,The city of Taiz is in Yemen.,The city of Battagram is in Tanzania.
The city of Suwon is in South Korea and the city of Guarulhos is in China.,and,TF,0,The city of Suwon is in South Korea.,The city of Guarulhos is in China.
The city of Pasig City is in Morocco and the city of Kagoshima is in Japan.,and,FT,0,The city of Pasig City is in Morocco.,The city of Kagoshima is in Japan.
The city of Al Hudaydah is in South Korea and the city of Dandong is in Niger.,and,FF,0,The city of Al Hudaydah is in South Korea.,The city of Dandong is in Niger.
The city of Lusaka is in Zambia or the city of Albuquerque is in the United States.,or,TT,1,The city of Lusaka is in Zambia.,The city of Albuquerque is in the United States.
The city of Hohhot is in Indonesia and the city of Chenzhou is in China.,and,FT,0,The city of Hohhot is in Indonesia.,The city of Chenzhou is in China.
The city of South Tangerang is in Indonesia and the city of Panzhihua is in Iran.,and,TF,0,The city of South Tangerang is in Indonesia.,The city of Panzhihua is in Iran.
The city of San Pedro Sula is in India or the city of Arequipa is in India.,or,FF,0,The city of San Pedro Sula is in India.,The city of Arequipa is in India.
The city of Balikpapan is in Japan and the city of Shaoguan is in Pakistan.,and,FF,0,The city of Balikpapan is in Japan.,The city of Shaoguan is in Pakistan.
The city of Chizhou is in China or the city of Nizhniy Novgorod is in China.,or,TF,1,The city of Chizhou is in China.,The city of Nizhniy Novgorod is in China.
The city of Lubumbashi is in the Democratic Republic of the Congo or the city of Liupanshui is in the Philippines.,or,TF,1,The city of Lubumbashi is in the Democratic Republic of the Congo.,The city of Liupanshui is in the Philippines.
The city of Belo Horizonte is in North Korea or the city of Foshan is in Mozambique.,or,FF,0,The city of Belo Horizonte is in North Korea.,The city of Foshan is in Mozambique.
The city of Qinhuangdao is in China or the city of Frankfurt am Main is in Vietnam.,or,TF,1,The city of Qinhuangdao is in China.,The city of Frankfurt am Main is in Vietnam.
The city of Novokuznetsk is in China and the city of Shivaji Nagar is in China.,and,FF,0,The city of Novokuznetsk is in China.,The city of Shivaji Nagar is in China.
The city of Wuzhou is in Syria and the city of Varanasi is in India.,and,FT,0,The city of Wuzhou is in Syria.,The city of Varanasi is in India.
The city of Yaounde is in Cameroon or the city of Indore is in Turkey.,or,TF,1,The city of Yaounde is in Cameroon.,The city of Indore is in Turkey.
The city of Dnipro is in Russia and the city of Erbil is in Iraq.,and,FT,0,The city of Dnipro is in Russia.,The city of Erbil is in Iraq.
The city of Port-au-Prince is in South Korea or the city of Gaziantep is in Mexico.,or,FF,0,The city of Port-au-Prince is in South Korea.,The city of Gaziantep is in Mexico.
The city of Lubumbashi is in India or the city of Seattle is in Yemen.,or,FF,0,The city of Lubumbashi is in India.,The city of Seattle is in Yemen.
The city of Kakamega is in Kenya and the city of Chennai is in China.,and,TF,0,The city of Kakamega is in Kenya.,The city of Chennai is in China.
The city of Baoji is in China or the city of Bareilly is in Mozambique.,or,TF,1,The city of Baoji is in China.,The city of Bareilly is in Mozambique.
The city of Frankfurt am Main is in Germany and the city of Palembang is in Brazil.,and,TF,0,The city of Frankfurt am Main is in Germany.,The city of Palembang is in Brazil.
The city of Bucaramanga is in Brazil and the city of Krasnodar is in Russia.,and,FT,0,The city of Bucaramanga is in Brazil.,The city of Krasnodar is in Russia.
The city of Chisinau is in Moldova and the city of Pontianak is in India.,and,TF,0,The city of Chisinau is in Moldova.,The city of Pontianak is in India.
The city of Rohini is in India or the city of Wanzhou is in China.,or,TT,1,The city of Rohini is in India.,The city of Wanzhou is in China.
The city of Sokoto is in Nigeria and the city of Jos is in Nigeria.,and,TT,1,The city of Sokoto is in Nigeria.,The city of Jos is in Nigeria.
The city of Laibin is in Ethiopia and the city of Sangli is in Japan.,and,FF,0,The city of Laibin is in Ethiopia.,The city of Sangli is in Japan.
The city of Kryvyy Rih is in Ukraine or the city of Dnipro is in Russia.,or,TF,1,The city of Kryvyy Rih is in Ukraine.,The city of Dnipro is in Russia.
The city of Macapa is in China or the city of Huangshi is in China.,or,FT,1,The city of Macapa is in China.,The city of Huangshi is in China.
The city of Torreon is in India or the city of Irkutsk is in Morocco.,or,FF,0,The city of Torreon is in India.,The city of Irkutsk is in Morocco.
The city of Rohini is in Russia or the city of Xuanzhou is in Tanzania.,or,FF,0,The city of Rohini is in Russia.,The city of Xuanzhou is in Tanzania.
The city of Kleinzschocher is in Germany and the city of Luzhou is in Peru.,and,TF,0,The city of Kleinzschocher is in Germany.,The city of Luzhou is in Peru.
The city of Ipoh is in Malaysia or the city of Batam is in Indonesia.,or,TT,1,The city of Ipoh is in Malaysia.,The city of Batam is in Indonesia.
The city of Karaj is in India and the city of Barnaul is in Russia.,and,FT,0,The city of Karaj is in India.,The city of Barnaul is in Russia.
The city of Huaibei is in Brazil or the city of Dar es Salaam is in Italy.,or,FF,0,The city of Huaibei is in Brazil.,The city of Dar es Salaam is in Italy.
The city of Huangshi is in China or the city of Seoul is in Nicaragua.,or,TF,1,The city of Huangshi is in China.,The city of Seoul is in Nicaragua.
The city of Cangzhou is in China or the city of Dammam is in Saudi Arabia.,or,TT,1,The city of Cangzhou is in China.,The city of Dammam is in Saudi Arabia.
The city of Banjarmasin is in South Korea or the city of Astrakhan is in India.,or,FF,0,The city of Banjarmasin is in South Korea.,The city of Astrakhan is in India.
The city of Zhuzhou is in China or the city of Faisalabad is in Pakistan.,or,TT,1,The city of Zhuzhou is in China.,The city of Faisalabad is in Pakistan.
The city of Tebessa is in India and the city of Wuwei is in India.,and,FF,0,The city of Tebessa is in India.,The city of Wuwei is in India.
The city of Shangrao is in Russia or the city of Bhopal is in Russia.,or,FF,0,The city of Shangrao is in Russia.,The city of Bhopal is in Russia.
The city of Krasnodar is in Russia or the city of Chennai is in India.,or,TT,1,The city of Krasnodar is in Russia.,The city of Chennai is in India.
The city of Istanbul is in Turkey and the city of Lome is in Yemen.,and,TF,0,The city of Istanbul is in Turkey.,The city of Lome is in Yemen.
The city of Baotou is in Japan or the city of Kota Bharu is in Malaysia.,or,FT,1,The city of Baotou is in Japan.,The city of Kota Bharu is in Malaysia.
The city of Wuzhou is in China or the city of Krasnoyarsk is in Russia.,or,TT,1,The city of Wuzhou is in China.,The city of Krasnoyarsk is in Russia.
The city of Kashgar is in China and the city of Ansan-si is in South Korea.,and,TT,1,The city of Kashgar is in China.,The city of Ansan-si is in South Korea.
The city of Maputo is in Mozambique or the city of Busan is in Brazil.,or,TF,1,The city of Maputo is in Mozambique.,The city of Busan is in Brazil.
The city of Arequipa is in India and the city of Tianshui is in Canada.,and,FF,0,The city of Arequipa is in India.,The city of Tianshui is in Canada.
The city of Karbala is in Iraq or the city of Pasig City is in Morocco.,or,TF,1,The city of Karbala is in Iraq.,The city of Pasig City is in Morocco.
The city of Kota Bharu is in Malaysia and the city of Dushanbe is in Nigeria.,and,TF,0,The city of Kota Bharu is in Malaysia.,The city of Dushanbe is in Nigeria.
The city of Lu'an is in Turkey and the city of Fukuoka is in Japan.,and,FT,0,The city of Lu'an is in Turkey.,The city of Fukuoka is in Japan.
The city of Dombivli is in Mali and the city of Sanya is in India.,and,FF,0,The city of Dombivli is in Mali.,The city of Sanya is in India.
The city of Dushanbe is in Nigeria or the city of Mogadishu is in Somalia.,or,FT,1,The city of Dushanbe is in Nigeria.,The city of Mogadishu is in Somalia.
The city of Maceio is in China and the city of Zaozhuang is in China.,and,FT,0,The city of Maceio is in China.,The city of Zaozhuang is in China.
The city of Baku is in Azerbaijan and the city of Ghaziabad is in South Korea.,and,TF,0,The city of Baku is in Azerbaijan.,The city of Ghaziabad is in South Korea.
The city of Mombasa is in India or the city of Kagoshima is in India.,or,FF,0,The city of Mombasa is in India.,The city of Kagoshima is in India.
The city of Indianapolis is in the United States or the city of Kathmandu is in Nepal.,or,TT,1,The city of Indianapolis is in the United States.,The city of Kathmandu is in Nepal.
The city of Kozhikode is in India or the city of Ciudad Guayana is in South Africa.,or,TF,1,The city of Kozhikode is in India.,The city of Ciudad Guayana is in South Africa.
The city of Tangier is in Morocco and the city of Rajkot is in India.,and,TT,1,The city of Tangier is in Morocco.,The city of Rajkot is in India.
The city of Chuzhou is in India and the city of Mbuji-Mayi is in Pakistan.,and,FF,0,The city of Chuzhou is in India.,The city of Mbuji-Mayi is in Pakistan.
The city of Port-au-Prince is in South Korea or the city of Bhayandar is in India.,or,FT,1,The city of Port-au-Prince is in South Korea.,The city of Bhayandar is in India.
The city of Can Tho is in Vietnam and the city of Odesa is in Ukraine.,and,TT,1,The city of Can Tho is in Vietnam.,The city of Odesa is in Ukraine.
The city of Daegu is in South Korea and the city of Jiujiang is in China.,and,TT,1,The city of Daegu is in South Korea.,The city of Jiujiang is in China.
The city of Lubumbashi is in India and the city of Guankou is in China.,and,FT,0,The city of Lubumbashi is in India.,The city of Guankou is in China.
The city of Nova Iguacu is in Brazil or the city of Manaus is in Brazil.,or,TT,1,The city of Nova Iguacu is in Brazil.,The city of Manaus is in Brazil.
The city of Pyongyang is in North Korea or the city of Sarajevo is in South Africa.,or,TF,1,The city of Pyongyang is in North Korea.,The city of Sarajevo is in South Africa.
The city of Mysore is in India and the city of Daegu is in the United States.,and,TF,0,The city of Mysore is in India.,The city of Daegu is in the United States.
The city of Guarulhos is in Brazil or the city of Vladivostok is in Russia.,or,TT,1,The city of Guarulhos is in Brazil.,The city of Vladivostok is in Russia.
The city of Karol Bagh is in India and the city of Victoria de Durango is in Ghana.,and,TF,0,The city of Karol Bagh is in India.,The city of Victoria de Durango is in Ghana.
The city of Libreville is in Gabon or the city of Nova Iguacu is in India.,or,TF,1,The city of Libreville is in Gabon.,The city of Nova Iguacu is in India.
The city of Pune is in South Korea and the city of Ranchi is in Venezuela.,and,FF,0,The city of Pune is in South Korea.,The city of Ranchi is in Venezuela.
The city of Ha'il is in China and the city of Lipetsk is in China.,and,FF,0,The city of Ha'il is in China.,The city of Lipetsk is in China.
The city of Port-au-Prince is in South Korea and the city of Nay Pyi Taw is in Mozambique.,and,FF,0,The city of Port-au-Prince is in South Korea.,The city of Nay Pyi Taw is in Mozambique.
The city of Saitama is in India or the city of Krasnoyarsk is in India.,or,FF,0,The city of Saitama is in India.,The city of Krasnoyarsk is in India.
The city of Krasnodar is in South Africa or the city of Abuja is in Nigeria.,or,FT,1,The city of Krasnodar is in South Africa.,The city of Abuja is in Nigeria.
The city of Xinyang is in Japan or the city of Al Ain City is in the United Arab Emirates.,or,FT,1,The city of Xinyang is in Japan.,The city of Al Ain City is in the United Arab Emirates.
The city of Benin City is in Nigeria and the city of Makhachkala is in Russia.,and,TT,1,The city of Benin City is in Nigeria.,The city of Makhachkala is in Russia.
The city of Sevastopol is in Pakistan and the city of Jilin is in China.,and,FT,0,The city of Sevastopol is in Pakistan.,The city of Jilin is in China.
The city of Mexicali is in Mexico and the city of Qinzhou is in India.,and,TF,0,The city of Mexicali is in Mexico.,The city of Qinzhou is in India.
The city of Zaporizhzhya is in South Korea and the city of Taicang is in China.,and,FT,0,The city of Zaporizhzhya is in South Korea.,The city of Taicang is in China.
The city of Nouakchott is in Mauritania and the city of New Kingston is in South Africa.,and,TF,0,The city of Nouakchott is in Mauritania.,The city of New Kingston is in South Africa.
The city of Sorocaba is in Brazil or the city of Yiwu is in China.,or,TT,1,The city of Sorocaba is in Brazil.,The city of Yiwu is in China.
The city of Yingkou is in the Philippines and the city of Turin is in China.,and,FF,0,The city of Yingkou is in the Philippines.,The city of Turin is in China.
The city of Ipoh is in Brazil or the city of Qingdao is in India.,or,FF,0,The city of Ipoh is in Brazil.,The city of Qingdao is in India.
The city of Shangrao is in China and the city of Jieyang is in China.,and,TT,1,The city of Shangrao is in China.,The city of Jieyang is in China.
The city of Tangerang is in Indonesia or the city of Kyoto is in Japan.,or,TT,1,The city of Tangerang is in Indonesia.,The city of Kyoto is in Japan.
The city of Jilin is in the United States and the city of Ibadan is in Nigeria.,and,FT,0,The city of Jilin is in the United States.,The city of Ibadan is in Nigeria.
The city of Huaibei is in Brazil and the city of Hanzhong is in China.,and,FT,0,The city of Huaibei is in Brazil.,The city of Hanzhong is in China.
The city of Rourkela is in Brazil and the city of Frankfurt am Main is in Germany.,and,FT,0,The city of Rourkela is in Brazil.,The city of Frankfurt am Main is in Germany.
The city of Quebec is in Canada or the city of Xuzhou is in Mexico.,or,TF,1,The city of Quebec is in Canada.,The city of Xuzhou is in Mexico.
The city of Jiamusi is in Germany and the city of Orenburg is in Russia.,and,FT,0,The city of Jiamusi is in Germany.,The city of Orenburg is in Russia.
The city of Jambi City is in Indonesia or the city of Orumiyeh is in Saudi Arabia.,or,TF,1,The city of Jambi City is in Indonesia.,The city of Orumiyeh is in Saudi Arabia.
The city of Oyo is in China and the city of Lviv is in Ukraine.,and,FT,0,The city of Oyo is in China.,The city of Lviv is in Ukraine.
The city of Wanzhou is in India or the city of Leon de los Aldama is in China.,or,FF,0,The city of Wanzhou is in India.,The city of Leon de los Aldama is in China.
The city of Tiruchirappalli is in India or the city of Thuan An is in Mozambique.,or,TF,1,The city of Tiruchirappalli is in India.,The city of Thuan An is in Mozambique.
The city of Bareilly is in India or the city of Rajshahi is in Bangladesh.,or,TT,1,The city of Bareilly is in India.,The city of Rajshahi is in Bangladesh.
The city of Cheonan is in Myanmar and the city of Caracas is in Venezuela.,and,FT,0,The city of Cheonan is in Myanmar.,The city of Caracas is in Venezuela.
The city of Aligarh is in India and the city of Managua is in Nicaragua.,and,TT,1,The city of Aligarh is in India.,The city of Managua is in Nicaragua.
The city of Qionghai is in China and the city of Santo Domingo Este is in India.,and,TF,0,The city of Qionghai is in China.,The city of Santo Domingo Este is in India.
The city of Beijing is in China and the city of Asansol is in India.,and,TT,1,The city of Beijing is in China.,The city of Asansol is in India.
The city of Kryvyy Rih is in Ukraine or the city of Krasnodar is in South Africa.,or,TF,1,The city of Kryvyy Rih is in Ukraine.,The city of Krasnodar is in South Africa.
The city of Rawalpindi is in Brazil and the city of Dombivli is in India.,and,FT,0,The city of Rawalpindi is in Brazil.,The city of Dombivli is in India.
The city of Bogor is in South Korea or the city of Feira de Santana is in Brazil.,or,FT,1,The city of Bogor is in South Korea.,The city of Feira de Santana is in Brazil.
The city of Yingkou is in China and the city of Lome is in Togo.,and,TT,1,The city of Yingkou is in China.,The city of Lome is in Togo.
The city of Sarajevo is in South Africa or the city of Astrakhan is in India.,or,FF,0,The city of Sarajevo is in South Africa.,The city of Astrakhan is in India.
The city of Antananarivo is in Madagascar or the city of Ahvaz is in Iran.,or,TT,1,The city of Antananarivo is in Madagascar.,The city of Ahvaz is in Iran.
The city of Odesa is in China and the city of Anqing is in Brazil.,and,FF,0,The city of Odesa is in China.,The city of Anqing is in Brazil.
The city of Kalininskiy is in Japan or the city of Recife is in North Korea.,or,FF,0,The city of Kalininskiy is in Japan.,The city of Recife is in North Korea.
The city of Cangzhou is in Germany and the city of Cheongju-si is in South Korea.,and,FT,0,The city of Cangzhou is in Germany.,The city of Cheongju-si is in South Korea.
The city of Sanmenxia is in China and the city of Wenzhou is in China.,and,TT,1,The city of Sanmenxia is in China.,The city of Wenzhou is in China.
The city of Liaocheng is in China and the city of Niamey is in Niger.,and,TT,1,The city of Liaocheng is in China.,The city of Niamey is in Niger.
The city of Brasilia is in Brazil or the city of Yangon is in Myanmar.,or,TT,1,The city of Brasilia is in Brazil.,The city of Yangon is in Myanmar.
The city of Mar del Plata is in Nigeria or the city of Pikine is in Senegal.,or,FT,1,The city of Mar del Plata is in Nigeria.,The city of Pikine is in Senegal.
The city of Yongzhou is in Ukraine or the city of Kaifeng is in Mexico.,or,FF,0,The city of Yongzhou is in Ukraine.,The city of Kaifeng is in Mexico.
The city of Benin City is in Nigeria or the city of Kampala is in Uganda.,or,TT,1,The city of Benin City is in Nigeria.,The city of Kampala is in Uganda.
The city of Nagoya is in China or the city of Mukalla is in Yemen.,or,FT,1,The city of Nagoya is in China.,The city of Mukalla is in Yemen.
The city of Changchun is in China or the city of Bikaner is in India.,or,TT,1,The city of Changchun is in China.,The city of Bikaner is in India.
The city of Quetta is in Pakistan or the city of Shaoxing is in the Philippines.,or,TF,1,The city of Quetta is in Pakistan.,The city of Shaoxing is in the Philippines.
The city of Florianopolis is in Brazil or the city of Lome is in Togo.,or,TT,1,The city of Florianopolis is in Brazil.,The city of Lome is in Togo.
The city of Yibin is in Brazil and the city of Dongying is in China.,and,FT,0,The city of Yibin is in Brazil.,The city of Dongying is in China.
The city of Yinchuan is in Bangladesh or the city of Surakarta is in Indonesia.,or,FT,1,The city of Yinchuan is in Bangladesh.,The city of Surakarta is in Indonesia.
The city of Sendai is in Brazil and the city of Bucheon-si is in South Korea.,and,FT,0,The city of Sendai is in Brazil.,The city of Bucheon-si is in South Korea.
The city of Yinchuan is in Bangladesh or the city of Siliguri is in India.,or,FT,1,The city of Yinchuan is in Bangladesh.,The city of Siliguri is in India.
The city of Abidjan is in China and the city of Saratov is in Russia.,and,FT,0,The city of Abidjan is in China.,The city of Saratov is in Russia.
The city of Goiania is in China and the city of Kaduna is in Nigeria.,and,FT,0,The city of Goiania is in China.,The city of Kaduna is in Nigeria.
The city of Barquisimeto is in Poland and the city of Makhachkala is in Indonesia.,and,FF,0,The city of Barquisimeto is in Poland.,The city of Makhachkala is in Indonesia.
The city of Recife is in North Korea or the city of Thane is in India.,or,FT,1,The city of Recife is in North Korea.,The city of Thane is in India.
The city of Samarkand is in Uzbekistan or the city of Yichang is in China.,or,TT,1,The city of Samarkand is in Uzbekistan.,The city of Yichang is in China.
The city of Handan is in China or the city of Lome is in Yemen.,or,TF,1,The city of Handan is in China.,The city of Lome is in Yemen.
The city of Kinshasa is in the Democratic Republic of the Congo or the city of Shubra al Khaymah is in Nigeria.,or,TF,1,The city of Kinshasa is in the Democratic Republic of the Congo.,The city of Shubra al Khaymah is in Nigeria.
The city of Zhangye is in China or the city of Guayaquil is in China.,or,TF,1,The city of Zhangye is in China.,The city of Guayaquil is in China.
The city of Lodz is in the Dominican Republic or the city of Saitama is in India.,or,FF,0,The city of Lodz is in the Dominican Republic.,The city of Saitama is in India.
The city of Zunyi is in Senegal and the city of Semarang is in Saudi Arabia.,and,FF,0,The city of Zunyi is in Senegal.,The city of Semarang is in Saudi Arabia.
The city of Nowrangapur is in Vietnam and the city of Kampung Baru Subang is in Malaysia.,and,FT,0,The city of Nowrangapur is in Vietnam.,The city of Kampung Baru Subang is in Malaysia.
The city of Deyang is in Japan or the city of Nanning is in Japan.,or,FF,0,The city of Deyang is in Japan.,The city of Nanning is in Japan.
The city of Banjarmasin is in Indonesia and the city of Fes is in Morocco.,and,TT,1,The city of Banjarmasin is in Indonesia.,The city of Fes is in Morocco.
The city of Qinzhou is in India and the city of Ya'an is in China.,and,FT,0,The city of Qinzhou is in India.,The city of Ya'an is in China.
The city of Quezon City is in China or the city of Amravati is in China.,or,FF,0,The city of Quezon City is in China.,The city of Amravati is in China.
The city of Huainan is in Egypt and the city of Ha'il is in China.,and,FF,0,The city of Huainan is in Egypt.,The city of Ha'il is in China.
The city of Jakarta is in Indonesia and the city of Sambhaji Nagar is in India.,and,TT,1,The city of Jakarta is in Indonesia.,The city of Sambhaji Nagar is in India.
The city of Sambhaji Nagar is in China or the city of Yerevan is in Armenia.,or,FT,1,The city of Sambhaji Nagar is in China.,The city of Yerevan is in Armenia.
The city of Chenzhou is in Brazil or the city of Santiago de Cuba is in India.,or,FF,0,The city of Chenzhou is in Brazil.,The city of Santiago de Cuba is in India.
The city of Arak is in Iran or the city of Bilimora is in India.,or,TT,1,The city of Arak is in Iran.,The city of Bilimora is in India.
The city of Shenzhen is in China and the city of Oklahoma City is in the United States.,and,TT,1,The city of Shenzhen is in China.,The city of Oklahoma City is in the United States.
The city of Feira de Santana is in Brazil or the city of Bobo-Dioulasso is in China.,or,TF,1,The city of Feira de Santana is in Brazil.,The city of Bobo-Dioulasso is in China.
The city of Suwon is in South Korea and the city of Istanbul is in Turkey.,and,TT,1,The city of Suwon is in South Korea.,The city of Istanbul is in Turkey.
The city of Panzhihua is in Iran and the city of Hegang is in China.,and,FT,0,The city of Panzhihua is in Iran.,The city of Hegang is in China.
The city of Budapest is in Iraq or the city of Chisinau is in Moldova.,or,FT,1,The city of Budapest is in Iraq.,The city of Chisinau is in Moldova.
The city of Nagpur is in India or the city of Navi Mumbai is in India.,or,TT,1,The city of Nagpur is in India.,The city of Navi Mumbai is in India.
The city of Lviv is in Ukraine or the city of Jingmen is in China.,or,TT,1,The city of Lviv is in Ukraine.,The city of Jingmen is in China.
The city of Vilnius is in Lithuania or the city of Jabalpur is in India.,or,TT,1,The city of Vilnius is in Lithuania.,The city of Jabalpur is in India.
The city of Lahore is in Pakistan or the city of Dhanbad is in India.,or,TT,1,The city of Lahore is in Pakistan.,The city of Dhanbad is in India.
The city of Amman is in Jordan and the city of Tehran is in Niger.,and,TF,0,The city of Amman is in Jordan.,The city of Tehran is in Niger.
The city of Kalyan is in South Korea and the city of Jiaozhou is in Latvia.,and,FF,0,The city of Kalyan is in South Korea.,The city of Jiaozhou is in Latvia.
The city of Shangluo is in Honduras and the city of Yibin is in China.,and,FT,0,The city of Shangluo is in Honduras.,The city of Yibin is in China.
The city of Hamhung is in North Korea or the city of Chelyabinsk is in China.,or,TF,1,The city of Hamhung is in North Korea.,The city of Chelyabinsk is in China.
The city of Hangzhou is in Russia or the city of Rio de Janeiro is in Brazil.,or,FT,1,The city of Hangzhou is in Russia.,The city of Rio de Janeiro is in Brazil.
The city of Maceio is in Brazil or the city of Serang is in Poland.,or,TF,1,The city of Maceio is in Brazil.,The city of Serang is in Poland.
The city of Eskisehir is in China and the city of Dhanbad is in India.,and,FT,0,The city of Eskisehir is in China.,The city of Dhanbad is in India.
The city of Kampala is in Turkey and the city of Davao is in Brazil.,and,FF,0,The city of Kampala is in Turkey.,The city of Davao is in Brazil.
The city of Hangzhou is in Russia or the city of Vijayawada is in Nigeria.,or,FF,0,The city of Hangzhou is in Russia.,The city of Vijayawada is in Nigeria.
The city of Benoni is in South Africa and the city of Las Pinas is in the Philippines.,and,TT,1,The city of Benoni is in South Africa.,The city of Las Pinas is in the Philippines.
The city of Bareilly is in Mozambique and the city of Aden is in Japan.,and,FF,0,The city of Bareilly is in Mozambique.,The city of Aden is in Japan.
The city of Jiaxing is in Ukraine and the city of Kampala is in Uganda.,and,FT,0,The city of Jiaxing is in Ukraine.,The city of Kampala is in Uganda.
The city of Shantou is in China and the city of Weifang is in China.,and,TT,1,The city of Shantou is in China.,The city of Weifang is in China.
The city of Callao is in Myanmar and the city of Al Mahallah al Kubra is in Egypt.,and,FT,0,The city of Callao is in Myanmar.,The city of Al Mahallah al Kubra is in Egypt.
The city of Bishkek is in Kyrgyzstan and the city of Rizhao is in Iraq.,and,TF,0,The city of Bishkek is in Kyrgyzstan.,The city of Rizhao is in Iraq.
The city of Giza is in Egypt and the city of Muzaffarabad is in Pakistan.,and,TT,1,The city of Giza is in Egypt.,The city of Muzaffarabad is in Pakistan.
The city of Xianning is in Lebanon or the city of Jabalpur is in Ukraine.,or,FF,0,The city of Xianning is in Lebanon.,The city of Jabalpur is in Ukraine.
The city of Izhevsk is in Nigeria and the city of Kagoshima is in Japan.,and,FT,0,The city of Izhevsk is in Nigeria.,The city of Kagoshima is in Japan.
The city of Cankaya is in Turkey or the city of Almaty is in Iraq.,or,TF,1,The city of Cankaya is in Turkey.,The city of Almaty is in Iraq.
The city of Maiduguri is in Nigeria or the city of Maoming is in China.,or,TT,1,The city of Maiduguri is in Nigeria.,The city of Maoming is in China.
The city of Wanxian is in Algeria and the city of Porto Velho is in Algeria.,and,FF,0,The city of Wanxian is in Algeria.,The city of Porto Velho is in Algeria.
The city of Budapest is in Hungary or the city of Niamey is in China.,or,TF,1,The city of Budapest is in Hungary.,The city of Niamey is in China.
The city of Weihai is in China or the city of Urumqi is in Vietnam.,or,TF,1,The city of Weihai is in China.,The city of Urumqi is in Vietnam.
The city of Heze is in Yemen and the city of Hamamatsu is in Russia.,and,FF,0,The city of Heze is in Yemen.,The city of Hamamatsu is in Russia.
